cell_name	average_expression	binary_call	time_point_expression
ABalpap	-109	0	-1153,-595,187,-96,54,-1586,-1900,-40,-573,-2487,207,287,-337,2104,852,716,1436,-32,-299,-289,1245
ABalpapa	7284	1	-1531,2904,3043,4499,4222,6236,7042,7859,7866,6418,5050,7605,11175,11162,8514,10358,11112,8641,6046,6204,11610,8028,13352,10186,8097,3687
ABalpapaa	6457	1	6121,4969,7257,13416,11947,16785,11152,6994,7481,14335,7952,6731,8885,11936,10126,11163,7165,6936,5197,4759,3043,9049,3594,3804,2984,3024,6335,3576,4167,4673,1870,3150,4367,6769,2919,1341,-1566,948
ABalpapaaa	3821	1	-2612,2923,2741,3389,3864,5936,4997,3735,4318,-267,4000,6813,3303,343,3925,4648,2263,855,4958,577,4880,369,8686,7471,8445,6550,5669,4200
ABalpapaap	2135	1	1958,3726,3746,2852,6900,785,6158,4238,-423,2185,6108,8888,4541,1012,962,-1301,3481,871,3960,-502,1745,-4327,-923,704,2254,-146,839,-511
ABalpapap	4074	1	4586,2049,4927,2884,3850,4424,6183,4465,8474,4738,4532,5790,4851,2498,7035,4210,4856,4854,6711,7517,5344,7371,5327,5400,1464,1232,4500,402,2118,6080,5101,-173,4218,1957,-1082,2005,41
ABalpapapa	2282	1	-83,274,-1340,2578,1926,-2463,-139,7775,1764,3057,4248,5735,5153,4875,3702,3847,6390,2351,2173,4790,2248,2410,8,2390,-770,2140,-577,1198,507
ABalpapapp	684	0	1647,-26,-398,1472,1736,-530,372,-102,-1470,2251,3489,3017,1524,-2325,-426,737,234,-1844,-1376,1563,-4443,617,3690,3956,2558,1393,1870,-538,1199
ABalpapp	3303	1	1835,-1261,2425,2260,5112,3094,4220,4020,1090,4574,5583,4075,5028,4578,2559,4540,7313,5827,3306,4956,2542,5065,-998,-2473
ABalpappa	6910	1	-2204,2412,2686,3596,4917,6634,4235,2190,6918,9222,7042,7603,9817,8380,12169,6858,7122,10158,7196,10524,10218,8327,7473,6696,10598,13794,6511,5456,13062,8317,729,2457
ABalpappaa	9838	1	2858,6072,1063,3240,8029,4059,6212,12067,12084,14067,12194,12763,11463,8874,8905,10399,10832,8296,11418,12669,11240,10742,14405,10980,21757,12530,9947,7794,10312,10152,5411,13098,7454,10174,8337,12264
ABalpappap	9177	1	4275,1412,6948,8348,8798,6617,6802,19485,8936,14534,10806,8865,2223,7041,11479,9138,6112,7890,12092,11482,15347,10049,8532,12952,6899,10979,10791,8572,6755,9226,11549,8199,11369,10648,7559,7654
ABalpappp	6469	1	-121,3669,2777,5031,2177,4444,4374,2828,5178,1893,3040,7038,8684,6176,8671,5194,6178,7198,7578,5575,9490,7433,11049,9992,7064,8776,10347,10439,14792,11860,3933,4239
ABalpapppa	17822	1	7015,4543,9952,5275,11179,14254,20437,14198,18555,16443,17013,17601,20125,17423,18503,17103,14937,14567,28803,19810,20854,12992,21216,18507,27087,18737,17049,20699,23775,24517,19983,12996,27170,19561,22570,26156
ABalpapppp	14335	1	158,7447,6334,7302,7474,7000,9342,9014,12420,7955,6373,11772,14279,11349,17138,11902,16076,17496,15311,19345,24690,18018,16801,21180,20524,16637,24196,26712,19510,23106,24270,10491,19305,13625,13249,8256
ABalpp	-2004	0	-2292,-2567,-1090,-1800,-3355,-233,-1992,-1447,-2276,-2819,-1038,-2112,-2059,-778,-1763,-1923,-2195,-2470,-3863
ABalppa	-1796	0	-1638,-1485,-326,-4069,-1685,-2246,-1376,-2541,-2474,-3664,126,-1011,-1332,-750,-1022,-2227,-1627,-915,-2481,-2215,-1828,-2984,-1538
ABalppaa	-514	0	-628,1790,89,252,-2926,-1109,138,-993,316,-820,909,485,-752,477,-327,-1388,1584,-1996,604,-1143,-100,-1687,-1571,-1262,-843,-1356,-1793,-1823,2647,-2195
ABalppaaa	-1083	0	-94,-2409,-1850,-1458,-5027,1796,-3639,-3999,-515,-4282,-3701,1496,2142,-574,-1118,-2809,-3795,118,-1299,-1673,2841,-1044,96,-614,-1366,-1536,-752,-4213,-2822,-1290,-1844,1322,-3156,416,4241,-2753,680,-990,587,260,-1359,491
ABalppaaaa	270	0	1561,-146,245,-2313,-2796,-2029,556,3464,-1777,3114,2043,42,1275,481,2679,1133,-71,-2598
ABalppaaap	-823	0	-672,433,-4737,1784,-1588,-1808,260,1187,1022,2,-2122,894,-2265,-3014,151,-171,1189,-5367
ABalppaap	-926	0	-469,1593,-285,-3075,-1479,-2923,1193,1143,-3779,-1394,-757,-2413,-1268,-1424,-1869,-763,-971,880,-1797,4267,-2527,-2839,659,-2616,-903,-2187,347,-383,-1481,910,-2952,1125,-1215,-740,-1256,-167,-2457
ABalppaapa	-597	0	-1051,-4250,-504,2098,358,-1858,-1718,1297,-3368,-693,4163,2171,-707,449,-3497,-3469,-3682,2769,-1998,1763,-4563,3081,-513
ABalppaapp	-1246	0	-428,-3453,-1802,-2419,-210,-2578,-2891,-2636,-2596,-75,-1449,2358,-1465,-2756,2480,-3006,-4110,-46,958,911,-2472,1758,-2723
ABalppap	-1025	0	214,2231,-3607,-464,-635,-1078,-1497,-1068,-1302,-1924,-833,-867,-975,-1901,-3529,-911,-1089,-789,-566,-510,-1192,-2718,-394,1536,-1748
ABalppapa	-806	0	-3228,-1179,1678,734,485,-1801,357,1598,-3134,-2126,-1160,-1595,-3708,-3128,-2735,-2172,2155,-90,1063,-3438,-588,-3123,-1274,-2200,-417,-462,1933,3376,-5,1779,-627,2917,-3740,-3559
ABalppapaa	-808	0	-1757,-4335,1472,-2104,-1856,-1161,-2410,-613,-1647,1224,-434,-1148,-1359,331,-685,-268,1389,-2362,-1307,1143,409,-2685,-2086,-999,2375,-1612,2635,3122,-877,-4017,-3440
ABalppapap	-1319	0	-706,-1716,2582,-2098,-3763,-993,-818,-440,1063,2326,-10,-1256,291,-295,-4071,330,-1994,1529,142,-1443,-4900,-5621,-1308,-2186,-2962,-4095,-537,-1585,-3762,-6584,3985
ABalppapp	-558	0	731,-853,1209,-3073,688,-861,-2642,-2593,1141,-889,-528,1150,-74,-970,-1684,-1326,1065,-28,-2480,-413,1012,-2384,-140,-423,-615,1376,-1415,-870,-1520,-269,-1057,863
ABalppappa	-598	0	3207,-597,-1306,-3102,-2641,-2136,-2804,649,-4786,1607,3193,-2452,-1056,1531,-3077,1165,-1852,-709,1653,2166,1323,1956,-1776,-1153,-1350,-2626,1119,-1130,-1977,-8,-1046,-1434,-287
